Places,City,Start Timings,End Timings,Ratings(Google),Reviewed,Latitude,Longitude
 Anekonda,Davanagere,Null,,3.1,38,14.4779759,75.9310821
Eshwara Temple,Davanagere,Null,,4.5,71,14.4502853,75.9290024
 Betur,Davanagere,Null,,3.1,37,14.47178,75.8941401
Khwaja Bande Nawaz Dargah,Gulbarga,"Every day, 8:00 AM to 6:00 PM",,4.7,2354,17.3439748,76.8508844
 Buddha Vihar,Gulbarga,Null,,4.4,1218,17.3066979,76.8925441
Gulbarga Fort,Gulbarga,9:00 AM to 5.30 PM,,4.6,202,17.3400443,76.8377121
Sharana Basaveshwara Temple,Gulbarga,9:00 AM - 6:00 PM,,4.6,7247,17.3361934,76.8261316
 Chandrampalli Dam,Gulbarga,Null,,4,13,17.5387919,77.4658948
Jama Masjid Gulbarga,Gulbarga,6:00 AM - 6:00 PM,,4.6,202,17.3408906,76.8304308
Haft Gumbaz,Gulbarga,Null,,4.6,11,17.3421087,76.844779
Koranti Hanuman Temple,Gulbarga,Null,,4.7,1687,17.3122369,76.8346528
 Shri Dattatreya Temple,Gulbarga,Null,,5,3,17.3465478,76.8380096
 Chandralamba Temple,Gulbarga,Null,,4.6,76,16.8287299,76.9073298
Hoysala Temples at Mosale,Hassan,Null,,3.4,45,13.3134296,76.1030007
Shettihalli Church,Hassan,Null,,4.1,4121,12.869655,76.0181524
Bhagwan Bahubali Statue,Hassan,Null,,4.5,387,13.0033234,76.1003894
Gorur Dam,Hassan,9:00 AM - 5:00 PM,,3.5,66,12.8220484,76.0544661
Kedareshwara Temple,Hassan,10:00 AM - 5:00 PM Closed on Friday,,4.6,423,13.2088534,75.9985426
Lakshmi Narasimha Temple,Hassan,7.30 AM to 5.30 PM,,4.6,270,13.0109318,76.475191
 Shri Ranganatha temple,Hassan,Null,,4.4,45,12.8542746,76.1811981
"Ishvara Temple, Arasikere",Hassan,"9:00 AM to 6:00 PM, Daily",,4.6,797,13.3184205,76.2600036
 Ramanathpura Temples,Hassan,Null,,4.6,1170,12.6165532,76.0841509
 Maharaja Park,Hassan,"6:00 AM to 8:00 PM, Every day",,4.1,3084,13.0080999,76.0998645
 Koravangala Temple,Hassan,Null,,4.6,160,13.0530949,76.1768493
Kabbaligere Hill,Hassan,Null,,4,3,12.6741933,76.0512245
 Bisle Ghat,Hassan,Null,,4.2,71,12.71983,75.6856818
Lakshmi Devi Temple,Hassan,Null,,4.7,643,13.0028115,76.0946757
Hasanamba Temple,Hassan,7:00 AM - 10:00 PM,,4.6,6620,13.0028115,76.0946757
Hemavathi Reservoir,Hassan,Null,,4.5,373,12.8137931,76.0217831
 Bhoga Narasimha Temple,Hassan,Null,,4.7,137,12.987229,76.216046
Jain Matt,Hassan,Null,,4.7,376,12.8566035,76.4892793
 Parvathamma Betta,Hassan,Null,,4.6,133,12.8907044,75.9026608
 Kappe Chennigaraya Temple,Hassan,Null,,4.5,17,13.1624635,75.8604267
 Allalanatha Temple,Hassan,Null,,4.6,33,13.0028115,76.0946757
Hulikere Pond,Hassan,Null,,4,16,13.1967297,76.005824
Siddharoodha Math,Hubli,,,4.7,6621,15.3350063,75.1189894
Unkal Lake,Hubli,,,4.1,426,15.3350063,75.1189894
Chandramouleshwara Temple,Hubli,,,4,21,15.3350063,75.1189894
Indira Gandhi Glass House Garden,Hubli,,,3.7,1112,15.3350063,75.1189894
Nrupatunga Hill,Hubli,,,4.3,1633,15.3350063,75.1189894
Country Club Water World,Hubli,,,3.5,507,15.3350063,75.1189894
Navagraha Teertha,Hubli,,,4.2,319,15.3350063,75.1189894
Banashankari Temple,Hubli,,,4.3,250,15.3350063,75.1189894
Gayatari Tapovan,Hubli,,,4.5,83,15.3350063,75.1189894
Sayed Fateh Shan Dargha,Hubli,,,4.7,311,15.3350063,75.1189894
ISKCON Krishna Balarama Temple,Hubli,,,4.6,1680,15.3350063,75.1189894
St. Joseph Church,Hubli,,,4.6,5,15.3350063,75.1189894
Vittal Temple,Hubli,,,4.6,5,15.3350063,75.1189894
EshwaraTemple,Hubli,,,5,2,15.3350063,75.1189894
Bannigida Maruthi Temple,Hubli,,,4.3,11,15.3350063,75.1189894
Panambur Beach,Mangalore,Null,,4.2,"12,457",12.9369411,74.8046043
Kudroli Temple,Mangalore,Null,,4.5,565,12.8765379,74.832386
St Aloysius Chapel,Mangalore,"7:00 AM - 7:00 PMMass Timings: 7:00 AM, 9:00 AM, 11:00 AM, 5:30 PM on Sunday, 6:00 AM on Monday, 8:00 AM on Tuesday, Thursday and Friday",,4.6,1623,12.8738405,74.8453608
Kadri Manjunath Temple,Mangalore,"6:30 AM to 8:30 PM, Everyday",,4.8,5421,12.8857411,74.8554198
Sultan Battery,Mangalore,24 hour,,4.2,6090,12.8896981,74.8210911
Kadri Park,Mangalore,"7:00 AM to 8:00 PM, Everyday",,4.3,450,12.8889802,74.8562231
Pilikula Park and Golf Course,Mangalore,"7:00 AM to 7:00 PM, Everyday",,4.3,729,12.927873,74.89349
 Tannirbhavi Beach,Mangalore,24 hour,,4.5,1886,12.8913022,74.8138741
New Mangalore Port,Mangalore,9:00 AM to 7:00 PM,,3.1,34,12.928109,74.822216
Rosario Cathedral,Mangalore,"9:00 AM - 5:00 PM every dayMass TimingsSunday: 5:30 AM, 6:30 AM, 8:00 AM, 9:15AM and 10:15 AMWeekdays: 5:30 AM, 6:30 AM (Monday to Thursday) and 5:00 PM (Friday and Saturday)",,4.5,34,12.8559848,74.8363104
 Ullal Beach,Mangalore,Null,,4.2,562,12.8075765,74.8422695
 Milagres Church,Mangalore,"Mass TimingsSaturday: 4:30 PMSunday: 8:15 AM and 9:30 AM (Children's Mass)Weekday Mass: 6:00 AM, 7:00 AM and 6:00 PM",,4.6,211,12.8671419,74.8450475
 Mangaladevi Temple,Mangalore,"6:00 AM - 10:00 AM, 12:00 PM - 1:00 PM and 4:00 PM - 8:00 PM",,4.5,130,12.8517609,74.848764
Surathkal Beach,Mangalore,6:00 AM - 6:00 PM,,4.5,131,12.9951009,74.8094458
Someshwar Beach,Mangalore,Null,,4.4,20,12.7862087,74.8534545
 Sakleshpur,Mangalore,Null,,5,2,12.9441511,75.7865653
 Bejai Museum,Mangalore,"6:00 AM ?5:30 PM, Closed Monday",,4.1,286,12.8869346,74.8487993
 Kateel Durgaparameshwari Temple,Mangalore,5:30 AM - 10:00 PM,,4.8,"15,802",13.043881,74.8700804
Sasihithlu Beach,Mangalore,24 hr,,4.5,3564,13.0707262,74.7766835
 Pilikula Nisargadhama,Mangalore,8:30 AM - 5:30 PM,,4.3,1634,12.9276515,74.8969476
Sharavu Mahaganapathi Temple,Mangalore,6:00 AM - 7:00 PM,,4.8,"2,051",12.87028,74.840901
 Polali Rajarajeshwari Temple,Mangalore,6:00 AM - 9:30 PM,,4.9,7327,12.934111,74.9554186
Forum Fiza Mall,Mangalore,10:00 AM - 10:00 PM,,4.4,"23,200",12.8575897,74.8383386
 City Centre Mangalore,Mangalore,10:00 AM - 10:00 PM,,4.4,"32,279",12.8712557,74.8427679
 Thousand Pillar Temple,Mangalore,9:00 AM - 8:00 PM,,4.5,1478,13.0742056,74.9979768
 Pilikula Science Centre,Mangalore,10:00 AM - 5:30 PM,,4.5,589,12.9251122,74.8994402
Mysore Palace,Mysore,10:00 AM - 5:30 PM,,4.6,"1,78,158",12.305163,76.6551749
Brindavan Gardens,Mysore,Garden timings: 7:00 AM - 8:00 PM (Weekdays)7:00 AM - 9:00 PM (Weekends) Musical Fountain Show: 6:30 PM - 8:00 PM (Weekdays)6:30 PM - 9:00 PM (Weekends),,4.3,"70,967",12.4217156,76.5727862
Somanathapura Temple,Mysore,9:00 AM - 5:30 PM,,4.5,827,12.2758033,76.8821849
 Mysore Zoo,Mysore,"8:30 AM - 5:30 PM, Closed on Tuesdays.",,4.5,"82,129",12.3022057,76.6641882
 Chamundeshwari Temple,Mysore,"7:30 AM - 2:00 PM, 3:30 PM - 6:00 PM, 7:30 PM - 9:00 PM",,4.7,21958,12.2724581,76.6707227
Shuka Vana,Mysore,"hursday - Tuesday: 9:30 AM - 12:30 PM, 3:30 PM - 5:30 PMClosed on Wednesday",,4.6,709,12.284508,76.656936
Bonsai Garden,Mysore,"hursday - Tuesday: 9:30 AM - 1:00 PM, 3:30 PM - 5:30 PMClosed on Wednesday",,4.6,926,12.2845261,76.6580007
Karanji Lake,Mysore,8:30 AM - 5:30 PM (Closed on Tuesdays),,4.7,178,12.302778,76.673611
GRS Fantasy Park,Mysore,"Sunday: 10:30 AM - 7:30 PM, Monday - Saturday: 10:30 AM - 6:00 PM",,4.3,880,12.3531329,76.6346149
St. Philomena's Church,Mysore,"5:00 AM - 6:00 PM, Everyday",,4.5,"23,625",12.3210417,76.6582635
Jaganmohan Palace,Mysore,"10:00 AM - 5:30 PM, Daily",,4.1,7394,12.3068751,76.6498627
 Talakadu,Mysore,Null,,4,18,12.1946782,77.030539
Folklore Museum,Mysore,Null,,4.3,417,12.3134557,76.6226195
"Rail Museum, Mysore",Mysore,"10:00 AM - 5:30 PM, Closed on Mondays.",,4.2,5423,12.3163393,76.643323
Trinesvaraswamy Temple,Mysore,Null,,4.3,30,12.3056076,76.6575326
Nanjangud,Mysore,Best Time to visit : Oct to Mar 6:00 AM - 1:30 PM 4:00 PM - 9:00 PM 6:00 AM - 10:00 PM (for Sundays),,5,12,12.1159697,76.678249
Melukote Temples,Mysore,Null,,4.5,117,12.6602119,76.6476455
Srikanteswara Temple,Mysore,Null,,4.5,166,12.3077591,76.6513265
 Lalitha Mahal Palace,Mysore,Null,,4.3,5376,12.2982956,76.6926105
Mysore Mandala Yoga Shala,Mysore,Null,,4.2,24,12.2936788,76.6482881
 Kunti Betta,Mysore,24 hr,,4.5,1445,12.5083333,76.6980556
Chunchanakatte Falls,Mysore,24 hr,,4.3,3386,12.5061586,76.2959558
 Balmuri Waterfalls,Mysore,24 hr,,4.2,"10,580",12.4136785,76.6053077
 Dr. Ambedkar's Park,Mysore,Null,,4.3,727,12.2916,76.64135
 Lingambudhi Park,Mysore,Null,,4.4,1540,12.2743962,76.6157284
Javaregowda Park,Mysore,Null,,4.3,4256,12.301075,76.6295383
 Sanjeevini Park,Mysore,Null,,4.4,1191,12.2996128,76.6249794
 Cheluvamba Park,Mysore,Null,,4.3,"3,208",12.3215512,76.6365782
 Freedom Fighter's Park,Mysore,Null,,4.1,825,12.3028632,76.6460746
Lingambudhi Lake,Mysore,Null,,4.5,122,12.269372,76.611978
Edmuri Falls,Mysore,Null,,4.3,2225,12.4136785,76.6053077
 Krishnarajasagar Dam,Mysore,6:30 AM - 9:00 PM,,4,109,12.4254763,76.5724381
 Ranganathittu Bird Sanctuary,Mysore,"9:00 AM - 6:00 PM, Everyday",,4.3,"16,301",12.4243603,76.6563492
Kodachadri,Shimoga,Null,,4.7,2475,13.8623079,74.8752009
Jog Falls,Shimoga,Null,,4,112,14.2294389,74.8125229
Agumbe,Shimoga,Null,,4.5,47,13.5026635,75.0903154
Honnemaradu,Shimoga,Null,,4,18,14.1788901,74.8755663
Keladi,Shimoga,"6:00 AM to 8:00 PM, Every Day",,4.5,5,14.2176458,75.0173035
Tyavarekoppa Tiger and Lion Safari,Shimoga,Null,,4.2,3166,13.9719682,75.4936236
Sakrebailu Elephant Camp,Shimoga,"8:30 AM to 11:00 AM, Daily",,4.5,210,13.8407399,75.5134146
 Dabbe Falls,Shimoga,No timings. But 6:00 AM to 6:00 PM is recommended as it is safer.,,5,3,14.1664809,75.0334462
 Kundadri,Shimoga,Null,,4.5,12,13.5575,75.170278
Gudavi Bird Sanctuary,Shimoga,"6:00 AM to 6:00 PM, Every Day",,3.4,41,14.4464073,75.0085399
 Bhadra Dam,Shimoga,"6:00 AM ?4:00 PM, Everyday",,5,2,13.9299299,75.568101
Tyavarekoppa Tiger and Lion Safari,Shimoga,"10:00 AM to 5:00 PM, Wednesday to Monday",,4.2,3166,13.9719682,75.4936236
 Mandagadde Bird Sanctuary,Shimoga,"7:00 Am to 7:00 PM, Daily",,3.7,788,13.7400716,75.4592356
 Gajanur Dam,Shimoga,"10:00 AM to 4:00 PM, Daily",,3.1,76,13.8234057,75.5233026
 Barkana Falls,Shimoga,November - January,,4.1,30,13.4881474,75.0935483
 Onake Abbi Falls,Shimoga,Null,,4.4,238,13.5131092,75.0746696
 Shivappa Nayaka Palace Museum,Shimoga,"10:00 AM to 5:00 PM, Closed All Monday",,4.3,417,13.9275643,75.5835958
Sacred Heart Church,Shimoga,Null,,4.5,620,13.9329724,75.5797357
 Hosahalli,Shimoga,Null,,3,30,13.879708,75.5607846
 Mattur,Shimoga,Null,,3.3,13,13.8997293,75.5759809
Nagara Fort,Shimoga,"9:00 AM to 5:00 PM, Every Day",,4,15,13.8215909,75.0304481
 Kunchikal Falls,Shimoga,"6:00 AM to 6:00 PM, Everyday",,5,1,13.6937514,75.0191385
Tunga Anicut Dam,Shimoga,"10:00 AM to 5:00 PM, Daily",,4,10,13.9299299,75.568101
 Kanoor Fort,Shimoga,Null,,3.2,7,14.1378241,74.7063124
Linganamakki Dam,Shimoga,24 Hours. But ideal time to visit is 6:00 AM to 8:00 AM,,5,12,14.0549312,74.903339
 Unchalli Falls,Shimoga,All time,,3.7,59,14.4090712,74.7474233
Shivaganga Falls,Shimoga,Null,,4,12,14.7973955,74.7567895
Jogigundi Falls,Shimoga,Null,,4.4,238,14.0434769,73.273739
Sigandur Chowdeshwari Temple,Shimoga,Null,,5,3,14.0759135,74.8728269
Koodli,Shimoga,7:00 AM - 5:00 PM,,4,13,14.004254,75.6739005
"Shiva Temple, Shimoga",Shimoga,Null,,4.4,2935,13.9288797,75.5749618
Gandhi Park,Shimoga,Null,,4,5026,13.9336496,75.5761047
 Hidlumane Falls,Shimoga,Null,,4.6,1006,13.8737276,74.9131701
 Achakanya Falls,Shimoga,Null,,4,18,13.9299299,75.568101
 Kavaledurga,Shimoga,"8:30 AM - 5:30 PM, Everyday",,4.5,39,13.710946,75.1341064
St. Mary's Island,Udupi,"Ferry from Malpe: 9:30 AM - 5:30 PM,June - September: Closed",,4,231,13.3795,74.673
Kudlu Falls,Udupi,"9:00 AM to 4:00 PM, Everyday",,4.6,1535,13.41299,75.121136
Malpe Beach,Udupi,Open throughout the day (Best time to visit: October & December),,4.6,2869,13.3613804,74.6976506
Jomlu Teertha,Udupi,10:00 AM to 4:00 PM,,4,13,13.4781986,74.9239109
Krishna Temple,Udupi,4:00 AM - 9:00 PM. Nirmalya Visarjan Pooja is held at 5:30 AM.,,4.7,"25,628",13.3411806,74.7520204
Kodi Beach,Udupi,Null,,4.5,13,13.6141395,74.6705993
Kaup Beach,Udupi,Null,,4.2,24,13.3368614,74.7395159
Pajaka Kshetra,Udupi,Null,,4.8,538,13.2713881,74.7921734
Chandramouleshwara Temple,Udupi,Null,,4.6,102,13.3408416,74.7521433
 Mookambika Temple,Udupi,Null,,5,3,13.8637888,74.8144538
 Anantheshwara Temple,Udupi,4:30 AM to 9:00 PM. Mondays are an auspicious day.,,4.8,173,13.3407483,74.7517202
Coin Museum,Udupi,10:00 AM - 05:00 PM Closed on Sunday,,4.5,391,13.3427756,74.7503167
 Pajaka Kshetra,Udupi,Null,,4.8,537,13.2713881,74.7921734
 Sri Brahmi Durgaparameshwari Temple,Udupi,Null,,4.8,6,13.3036263,74.7958642
 Anantha Padmanabha Temple,Udupi,Null,,4.6,238,13.3424479,74.762395
Sri Indrani Panchadurga Parameshwari Temple,Udupi,Null,,4.6,365,13.3386111,74.7783333
Anejhari Butterfly Camp,Udupi,Null,,4.5,108,13.7667312,74.7885822
Kollur,Udupi,Null,,4.5,24,13.8631865,74.8104053
Calangute Beach,Goa,Null,,4.4,"15,660",15.5365726,73.7642463
Fort Aguada,Goa,9:30 AM,6:00 PM,4.2,"66,547",15.5056095,73.7705556
Cruise in Goa,Goa,Null,,4,13,15.5057778,73.9119222
Water Sports in Goa,Goa,Null,,0,0,15.5537716,73.7574843
 Dudhsagar Falls,Goa,Null,,4.6,"18,020",15.3144375,74.3143073
Anjuna Beach,Goa,Null,,4.4,9834,15.5733497,73.7409781
Chapora Fort,Goa,9:30 AM,5:30 PM,4.3,2671,15.6046375,73.7369631
Thalassa,Goa,8:30 AM,1:00 AM,4.4,"17,395",15.6162209,73.7556329
Basilica of Bom Jesus,Goa,9:00 AM,6:30 PM,4.5,"31,265",15.5008938,73.9116272
Baga Beach,Goa,Null,,4.5,"20,087",15.5552787,73.7517307
 Butterfly Beach,Goa,6:00 AM,10:00 PM,4.5,1747,15.0196019,74.001647
Divar Island,Goa,24hrs,24hrs,4.5,13,15.5276933,73.9065883
Scuba Diving in Goa,Goa,Null,,4.8,135,15.5420773,73.760789
 Dona Paula,Goa,6:00 AM,10:00 PM,4,141,15.4539555,73.828269
Arambol Beach,Goa,Null,,4.6,5545,15.6846886,73.7032836
Vagator Beach,Goa,Null,,4,1365,15.5989243,73.7419932
Fontainhas and Sao Tome,Goa,Null,,4.4,3649,15.2993265,74.123996
Church of Our Lady of the Immaculate Conception,Goa,9:30 AM,7:30 PM,4.5,"18,489",15.4986628,73.8292705
Tito's Nightclub,Goa,9:00 PM,3:00 AM,3,13,15.5562425,73.7531627
Brittos,Goa,8:30 AM,12:00 AM,4.3,"26,634",15.5613278,73.7494609
Mambos,Goa,8:00 PM,3:30 AM,4,1602,15.5561084,73.7521594
 Club LPK - Love Passion Karma,Goa,9:30 AM,3:30 AM,3.7,1761,15.5140754,73.7831816
Palolem Beach,Goa,Null,,4.6,"19,694",15.0099648,74.0232186
Bungee Jumping in Goa,Goa,Null,,0,0,15.5762313,73.9410691
Colva Beach,Goa,Null,,4,1421,15.2777852,73.9209512
Morjim Beach,Goa,Null,,4.9,59,15.6266044,73.7319807
Casino,Goa,Null,,5,11,15.5016184,73.8274399
Agonda Beach,Goa,Null,,4.5,17,15.0437626,73.9857577
Candolim Beach,Goa,Null,,4,12,15.5276047,73.7655121
 Se Cathedral,Goa,7:30 AM,6:00 PM,4.5,4375,15.5038769,73.9121918
 Cavelossim Beach,Goa,Null,,4.5,115,15.1715011,73.941493
 Patnem Beach,Goa,Null,,4.5,583,14.9978175,74.0402066
Betalbatim Beach,Goa,Null,,4.6,753,15.2926227,73.9078744
 Fort Tiracol,Goa,9:00 AM,7:00 PM,4.2,1654,15.7213751,73.686522
Grande Island,Goa,8:30 AM,4:00 PM,4.3,181,15.3527247,73.7779386
Bhagwan Mahavir Wildlife Sanctuary,Goa,8:00 AM,5:30 PM,4.4,23339,15.3339015,74.2883536
Arvalem Waterfalls,Goa,8:00 AM,6:00 PM,4.1,4162,15.5510768,74.0266517
 Mollem National Park,Goa,8:00 AM,5:00 PM,4,31,15.379378,74.231229
Church of St. Cajetan,Goa,9:00 AM,7:00 PM,4.6,621,15.5055969,73.9150423
 Bambolim Beach,Goa,Null,,3.5,31,15.4521897,73.8487063
 Butterfly Conservatory Of Goa,Goa,Null,,4.7,424,15.4295587,74.0124491
Sri Mahadeva Temple,Goa,Null,,4.3,12,15.0351091,74.173214
 Church of St Francis of Assisi,Goa,Null,,4.4,3662,15.5030684,73.9112497
 Cabo de Rama Beach,Goa,Null,,4.7,141,15.0887849,73.9215933
Church Of St Augustine,Goa,8:30 AM,5:30 PM,4.4,2141,15.5005094,73.9064616
 Savoi Spice Plantation,Goa,Null,,4.1,178,15.493259,74.000909
 Ashwem Beach,Goa,Null,,4.5,6191,15.6437966,73.7174025
View Point-manjeri,Manjeri,24hrs,,4.2,154,11.128053,76.133048
Cherani Tourism Udyan,Manjeri,8:00 AM,8:30 PM,3.7,317,11.133709,76.1125128
Varyan Chola Waterfalls Manjeri,Manjeri,24hrs,,3.5,6,11.1094207,76.1326906
NAMBI HILLS,Manjeri,Null,,4,1,11.1175034,76.0907386
View point para,Manjeri,24hrs,,5,3,11.1091647,76.1450677
Aryan Chola Watter Falls Manjeri,Manjeri,Null,,4.5,2,11.1015535,76.1281273
Thoppil View Point,Manjeri,24hrs,,4.9,7,11.0994501,76.0849045
Mini Ooty,Manjeri,24hrs,,4,"3,908",11.0870237,76.0359719
Pullanjeri Waterfall Manjeri,Manjeri,Null,,4.2,6,11.0975986,76.1463181
Koomankulam View Point,Manjeri,Null,,4,1,11.1466917,76.1411916
Pulpatta hill view,Manjeri,24hrs,,4.4,34,11.1360799,76.086952
Kolayi View Point,Manjeri,Null,,4.4,116,11.0810929,76.0802356
Cheruppadi Mala,Manjeri,24hrs,,4.2,"1,662",11.1091372,75.9902939
Silsila Water Theme Park,Manjeri,,,3.2,278,11.1322724,76.1346709
Pulpatta heaven point,Manjeri,Null,,4.7,15,11.1327258,76.084296
Thalassery Fort,Thalassery,8:00 AM,6:00 PM,4.2,"6,177",11.7481105,75.4865881
Sea View Park Thalassery,Thalassery,9:00 AM,9:00 PM,4,"2,054",11.7545031,75.4823881
Thalassery Sea Bridge View Point,Thalassery,Null,,4.3,"2,088",11.7442439,75.4886085
Thalassery River Drive,Thalassery,24hrs,,3.5,4,11.7847539,75.5131117
St. John's Anglican Church,Thalassery,8:00 AM,9:00 PM,4.3,35,11.747688,75.48597
Odathil Palli,Thalassery,24hrs,,4.6,216,11.7486641,75.4901341
Jawahar Ghat Thalassery,Thalassery,11:02 AM,4:05 PM,3.5,25,11.7473439,75.4858831
Gundert Bungalow,Thalassery,10:00 AM,6:00 PM,3.9,398,11.7677031,75.4806289
Thiruvangad Sree Ramaswami Temple,Thalassery,6:00 AM,9:00 PM,4.7,"1,419",11.7455714,75.5035722
Centenary Park,Thalassery,8:00 AM,11:00 PM,4,409,11.7569261,75.4797134
Sri Lakshmi Narasimha Temple Thalassery,Thalassery,Null,,4.6,93,11.7461198,75.4920995
Old Juma Masjid,Thalassery,"7:00AM,1:30PM","12:00PM,6:30PM",5,3,11.7514541,75.4851477
Hill Palace Museum,Thrippunithura,"9:30AM,2:00PM","12:30PM,4:30PM",4.3,"11,308",9.9525895,76.3639256
Sree Poornathrayeesa Temple,Thrippunithura,3:45 AM,8:30 PM,4.8,4182,9.9450988,76.3421127
Thanneerchaal Park,Thrippunithura,8:00 AM,5:30 PM,4,"1,529",9.9584474,76.3604495
Mangalavanam Bird Sanctuary,Thrippunithura,9:00 AM,6:00 PM,3.7,"6,305",9.9887401,76.272524
Mekkara Park,Thrippunithura,3:00 PM,9:00 PM,3.8,415,9.9324497,76.3563323
View Point,Thrippunithura,9:00 AM,7:30 PM,5,3,9.9236375,76.3232389
Vasco da Gama Square,Thrippunithura,24hrs,,4.3,"5,412",9.9677474,76.2413264
Panangad Jetty,Thrippunithura,24hrs,,4.5,177,9.8830137,76.329587
Chottanikkara Bhagavathy Temple,Thrippunithura,"3:30AM,4:30PM","11:30AM,7:30PM",4.7,"18,505",9.9330911,76.391136
St. George Jacobite Syrian Cathedral,"Thrippunithura,, Karingachira",7:00 AM,8:00 PM,4.6,"11,314",9.9516965,76.3577837
Sunset View Point,Thrippunithura,24hrs,,4.3,36,9.8521295,76.551522
St. Mary's Forane Church,Thrippunithura,"5:30AM,5:30PM","8:30AM,8:00PM",4.5,"1,145",9.944715,76.3485766
